DISTRICT,MANDAL,LOCATION NAME,LATITUDE,LONGITUDE,TYPE OF CAMERA,Type Of Analytics
GUNTUR,AMARAVATHI,AMARAVATHI MUSEUM,16.570124,80.358014,FRS,FRS
GUNTUR,AMARAVATHI,"AT TEMPLE ENTRANCE GATE, AMARAVATHI",16.5807011,80.3589849,FRS,FRS
GUNTUR,AMARAVATHI,"AT TEMPLE EXIT GATE, AMARAVATHI",16.5813711,80.3597662,FRS,FRS
GUNTUR,BAPATLA RURAL,SURYA LANKA - HARITHA RESORTS MAIN GATE,15.8404641,80.5082007,FRS,FRS
GUNTUR,BAPATLA URBAN,BAPATLA AG COLLEGE,15.9000302,80.469344,FRS,FRS
GUNTUR,BAPATLA URBAN,BAPATLA MUNICIPAL OFFICE,15.9063421,80.4738384,FRS,FRS
GUNTUR,BAPATLA URBAN,BAPATLA AREA HOSPITAL,15.9074367,80.4699402,FRS,FRS
GUNTUR,BAPATLA URBAN,"RAILWAY STATION PORTICO, BAPATLA",15.9077884,80.4689207,FRS,FRS
GUNTUR,BAPATLA URBAN,"RAILWAY STATION PORTICO, BAPATLA",15.9077631,80.4688639,FRS,FRS
GUNTUR,BAPATLA URBAN,"NEW BUTAND, BAPATLA",15.9084069,80.4785906,FRS,FRS
GUNTUR,BAPATLA URBAN,"NEW BUTAND, BAPATLA",15.9084823,80.478584,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,"GOVERNMENT HOSPITAL, CHILAKALURIPET",16.078575,80.1764867,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,SAI KARTHIKA CITY CENTER BUILDING,16.08782,80.1610967,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,MODERN MALL,16.0936983,80.1666917,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,SBI BANK MAIN BRANCH,16.0935667,80.1651933,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,"MUNICIPAL OFFICE, CHILAKALURIPET",16.09512,80.1666067,FRS,FRS
GUNTUR,CHILAKALURIPET URBAN,"RTC BUS STAND, CHILAKALURIPET",16.0983817,80.168215,FRS,FRS
GUNTUR,DACHEPALLI,"RAILWAY STATION PORTICO, NADIKUDI",16.5908324,79.7244939,FRS,FRS
GUNTUR,DACHEPALLI,"MASID, DACHEPALLI",16.595995,78.738611,FRS,FRS
GUNTUR,DACHEPALLI,"LIBRARY CENTER, DACHEPALLI",16.597024,78.738371,FRS,FRS
GUNTUR,GURAZALA,"GOVERNMENT HOSPITAL, GURAZALA",16.5559196,79.6377951,FRS,FRS
GUNTUR,GURAZALA,ANJANEYASWAMY TEMPLE,16.556696,79.62163,FRS,FRS
GUNTUR,GURAZALA,"BUS STAND, GURAZALA",16.55894,79.6384726,FRS,FRS
GUNTUR,MACHERLA,"MUNICIPAL OFFICE, MACHERLA",16.4720361,79.4321016,FRS,FRS
GUNTUR,MACHERLA,"R.T.C BUS STAND, MACHERLA",16.4760647,79.4391851,FRS,FRS
GUNTUR,MACHERLA,GOVT. HOAPITAL MACHERLA,16.4768915,79.4354975,FRS,FRS
GUNTUR,MACHERLA,"RAILWAY STATION PORTICO, MACHERLA",16.4705491,79.4387588,FRS,FRS
GUNTUR,N.SAGAR,IN SAGARMATHA TEMPLE N.SAGAR,16.55664,79.3013879,FRS,FRS
GUNTUR,N.SAGAR,"LAUNCH STATION ENTRY/EXIT, N. SAGAR",16.5617696,79.3073222,FRS,FRS
GUNTUR,NARASARAOPET TOWN,INSIDE MAIN BUS STAND NRT,16.2276197,80.0504109,FRS,FRS
GUNTUR,NARASARAOPET TOWN,INSIDE MAIN BUS STAND NRT,16.2275204,80.0504508,FRS,FRS
GUNTUR,NARASARAOPET TOWN,"RAILWAY STATION , NARASARAOPET",16.230216,80.0401983,FRS,FRS
GUNTUR,PADAKURAPADU,"RAILWAY STATION OUT SIDE, PEDDAKURAPADU",16.4595192,80.2543233,FRS,FRS
GUNTUR,PIDUGURALLA,"MUNCIPAL OFFICE, PIDUGURALLA",16.4791657,79.8828206,FRS,FRS
GUNTUR,PIDUGURALLA,"BUS STAND IN SIDE, PIDUGURALLA",16.4818582,79.8776326,FRS,FRS
GUNTUR,PIDUGURALLA,SBI BANK IN SIDE,16.4820632,79.8836016,FRS,FRS
GUNTUR,PIDUGURALLA,RAILWAY STATION PORTICO,16.4783094,79.8769039,FRS,FRS
GUNTUR,PONNURU URBAN,"BUS STAND, PONNURU",16.079901,80.548185,FRS,FRS
GUNTUR,PONNURU URBAN,"BUTAND, PONNURU",16.079901,80.58185,FRS,FRS
GUNTUR,REPALLE,MUNCIPAL OFFICE REPALLE,16.0182193,80.8303072,FRS,FRS
GUNTUR,REPALLE,BUS STATION REPALLE,16.019271,80.8280457,FRS,FRS
GUNTUR,REPALLE,RAILWAY STATION REPALLE,16.0193197,80.8289813,FRS,FRS
GUNTUR,REPALLE,"GOVT HOSPITAL, REPALLE",16.0211562,80.8350063,FRS,FRS
GUNTUR,SATTENAPALLI TOWN,"MUNCIPAL OFFICE, SATTENAPALLI",16.3930052,80.1472227,FRS,FRS
